id,search_term,dismissed_at,created_at
1e95493a-4942-430c-9da9-c0d3021c01bc,"Mew EX 120 Full Art ""120/124"" Dragons Exalted holo",2025-12-12 03:37:26.543+00,2025-12-12 03:37:26.03665+00
1ecf4683-f6c9-4cfb-82db-d0bd31f02e5a,Koraidon European Promo,2025-10-29 19:01:34.067+00,2025-10-29 19:01:34.732027+00
1fe6befa-e340-4edf-a08a-1a14da239f0c,Chansey ex 96/109 Ruby and Sapphire holo,2025-10-30 13:12:21.553+00,2025-10-30 13:12:20.925182+00
1ff928d1-55e4-4719-868a-66187de9110e,"Umbreon ""22/95"" Call of Legends reverse holo",2026-03-09 15:25:06.628+00,2026-03-09 15:25:07.212526+00
20a596ae-5ffd-4a39-ae06-69bdd1c3ff75,Gengar 5/92 Legend Maker reverse holo,2025-10-31 13:10:05.585+00,2025-10-31 13:10:05.381712+00
20c47da8-bcc2-496e-9c0b-5cd0e561d4bc,Claydol ex 93/108 Power Keepers holo,2025-10-31 12:00:45.121+00,2025-10-31 12:00:44.929658+00
217a7b1d-6b7c-4e90-9778-cca37a20379b,Mew Trainer's Challenge Set Nintendo Promos 040 holo,2026-02-05 20:24:14.345+00,2026-02-05 20:24:13.439657+00
2197fbb7-c24c-444e-85d5-a1a8d475b542,Blaziken FB Lv.X Supreme Victors 142 holo,2025-10-31 13:41:25.394+00,2025-10-31 13:41:25.12784+00
21d9facb-2b1a-437d-afe3-c13cde1550bb,Gengar V 156/264 Prize Pack Series Cards holo,2025-11-07 19:43:58.736+00,2025-11-07 19:43:58.034392+00
22534aa9-61d1-43f1-b540-82d6c59ceff0,"Houndoom ""5/90"" Undaunted reverse holo",2025-11-30 22:56:42.261+00,2025-11-30 22:56:40.95909+00
255b1c91-1c98-4621-8e6c-dfa166e94e9b,Zapdos  Supreme Victors 150 holo,2025-12-27 16:29:30.594+00,2025-12-27 16:29:31.05413+00
266fa707-2ef4-4f13-b124-2a503b560d2d,Unown K K/28 Unseen Forces holo,2025-10-31 12:08:04.328+00,2025-10-31 12:08:04.201643+00
2731dcd4-1a0b-4200-a984-e1330a23182c,"Absol ex ""92/108"" Power Keepers holo",2025-12-27 16:25:40.265+00,2025-12-27 16:25:41.042681+00
27b17b44-e567-4b66-bfc6-666c8249b8df,Leafeon 7 7/100 Majestic Dawn reverse holo,2025-10-31 13:01:07.878+00,2025-10-31 13:01:07.582717+00
27cd5ba7-fdb5-44f7-b4dc-344ec49addea,Snorlax Prerelease Sword & Shield Promo Cards SWSH068 holo,2025-10-29 13:06:34.676+00,2025-10-29 13:06:35.843379+00
28f26ac4-b022-47d1-9a48-fec35c8f753a,Giratina Team Plasma Black and White Promos BW74 holo,2025-12-12 04:27:13.459+00,2025-12-12 04:27:12.751478+00
2933b12a-8396-4901-8d37-4d28038c3d80,Pikachu Jungle Pikachu World Collection Promos 60,2025-10-31 12:01:40.149+00,2025-10-31 12:01:39.94659+00
299c1d0b-8432-44c7-bbf6-d423d5a3e7f5,Dark Weezing 42/109 Team Rocket Returns reverse holo,2025-10-31 13:20:28.267+00,2025-10-31 13:20:28.017206+00
2a49eb7a-5ac7-4211-a099-c6ba1c592949,M Charizard EX X Secret 108/106 Flashfire holo,2025-11-21 19:46:50.225+00,2025-11-21 19:46:49.923064+00
2b0c2570-8bdd-41bc-b1b7-62ce221795c8,"Zapdos ex ""116/112"" FireRed & LeafGreen holo",2025-12-12 03:49:03.529+00,2025-12-12 03:49:03.418769+00
2b2e544b-b779-4b23-ac4c-1f06a2c78cf0,Random Receiver 138/135 Plasma Storm holo,2025-10-30 13:20:31.536+00,2025-10-30 13:20:31.00565+00
2b7cbac9-1598-4081-8cea-b7d4aad1a7c0,Infernape LV.X  Diamond and Pearl Promos DP10 holo,2025-10-30 13:14:51.014+00,2025-10-30 13:14:50.615827+00
2bc91a8e-9eb6-4db9-b7ea-5c22153513bb,Garchomp C LV.X  Diamond and Pearl Promos DP46 holo,2025-10-31 02:49:20.121+00,2025-10-31 02:49:20.660626+00
2d112263-4914-43da-aecd-d5d82da37cd3,Duraludon EB Games Exclusive Miscellaneous Cards & Products SWSH028 holo,2025-10-23 20:42:45.402+00,2025-10-23 20:42:44.743869+00
2d30dedc-75c0-4f97-960d-b1a400cf27e3,Suicune 14 14/64 Neo Revelation,2025-10-31 13:33:01.854+00,2025-10-31 13:33:01.523304+00
2e009931-e304-4003-ae15-89ffb623383c,Tyranitar ex Delta Species 99/101 Dragon Frontiers holo,2025-10-23 21:32:34.055+00,2025-10-23 21:32:33.417261+00
2e7c72db-bf99-4e43-9ed6-99ebe1a4d55b,"Pikachu ""124/165"" Expedition reverse holo",2026-03-10 20:02:33.029+00,2026-03-10 20:02:33.830595+00
2e92956e-6ef0-458c-95e7-c7a4e37cdc5a,"Venusaur ""3/108"" Dark Explorers reverse holo",2025-11-30 23:28:41.49+00,2025-11-30 23:28:40.1844+00
2ecfa4ba-1391-4b70-bde9-a9be63ea20de,Ho Oh 27/115 Unseen Forces reverse holo,2025-10-31 02:51:01.974+00,2025-10-31 02:51:02.399201+00
304d622f-1af1-47b2-83f0-e8bf3d3c30f4,"Darkrai G ""3/111"" Rising Rivals reverse holo",2026-02-05 19:55:08.573+00,2026-02-05 19:55:07.289176+00
3200ec9f-5987-4033-a4a3-b8cd73791cfd,Mewtwo Rumble 9 holo,2026-03-10 00:44:22.137+00,2026-03-10 00:44:17.654769+00
32967a3b-592f-49f2-9e35-79e0db5c8f2d,Regigigas LV.X 100/100 Stormfront holo,2025-10-31 12:07:23.635+00,2025-10-31 12:07:23.431245+00
32a4bf0e-2051-42fe-b7e5-f0bc4a4fdc69,Blastoise 13/95 Unleashed reverse holo,2025-10-31 03:13:50.743+00,2025-10-31 03:13:51.228463+00
3450caa9-9088-4e04-b430-96012087ee54,Latias Delta Species 8/113 Delta Species reverse holo,2025-11-23 05:26:06.232+00,2025-11-23 05:26:05.354149+00
34745853-71d7-4a25-8c58-7ba7686b8a55,Magikarp 118/165 Expedition reverse holo,2025-10-31 13:12:16.694+00,2025-10-31 13:12:16.385204+00
34ab516b-832d-4748-a852-a459bb6eba0e,Dark Arbok W Stamped 19/82 WoTC Promo,2025-10-31 02:53:41.95+00,2025-10-31 02:53:42.332575+00
3551657d-effb-424e-8fb9-33b3bd3fd0a9,"Slugma ""77/109"" Team Rocket Returns reverse holo",2025-12-07 05:57:34.663+00,2025-12-07 05:57:35.846691+00
35a023bd-7a25-45aa-9b62-c47eb79d569c,Rare Candy 88/100 Sandstorm reverse holo,2025-10-30 15:07:49.361+00,2025-10-30 15:07:48.67295+00
35bcb4bc-2845-49ff-b47b-b8bf8725f01b,Articuno GX Secret 171/168 Celestial Storm holo,2025-10-31 13:41:24.311+00,2025-10-31 13:41:24.016774+00
35c4affe-459f-47aa-9fa3-3139a3a90516,Zacian V 138/202 Prize Pack Series Cards holo,2025-11-08 19:03:02.667+00,2025-11-08 19:03:01.250036+00
360f4525-4865-469e-b841-6dfa1439a39d,"Victreebel H30 ""H30/H32"" Aquapolis holo",2026-03-10 11:38:03.447+00,2026-03-10 11:38:03.722703+00
3615f315-1173-4318-83f5-ce5aa4229f04,Iron Thorns Pokemon Center Scarlet & Violet Promo Cards 098 holo,2025-12-27 15:30:29.578+00,2025-12-27 15:30:30.045193+00
36290f19-2c2b-4f30-81af-763b63a6f323,Flareon E4 60/111 Rising Rivals reverse holo,2025-10-29 19:43:54.203+00,2025-10-29 19:43:54.867815+00
379475f4-f20d-4de9-b1b0-c2189ad6681d,"Arcanine ""1/111"" Rising Rivals reverse holo",2025-12-07 05:58:02.068+00,2025-12-07 05:58:03.255203+00
37ef771c-031c-43a9-9c3a-70e73e130578,"Gengar ""18/100"" Stormfront reverse holo",2026-02-05 19:52:57.862+00,2026-02-05 19:52:56.514934+00
38969ebb-d16d-43f9-9b15-69fc074d72d7,Pikachu Delta Species Value Pack Nintendo Promos 035 holo,2026-02-05 16:00:13.302+00,2026-02-05 16:00:12.463345+00
38a47f50-888f-4a33-9de5-0565b88d53fd,Venusaur 28/100 Crystal Guardians reverse holo,2025-11-29 01:26:49.466+00,2025-11-29 01:26:49.096467+00
38bc22fa-4e5a-4c3f-b969-db65e6deb77a,Dragonite EB Games Exclusive,2025-10-24 02:58:03.078+00,2025-10-24 02:58:01.979964+00
391c19e2-8c5d-415d-b8d3-7b803174d312,Groudon EX 106 Full Art 106/108 Dark Explorers holo,2025-10-30 20:12:04.743+00,2025-10-30 20:12:04.966053+00
3a4a919a-95d1-4401-a61d-0da4ec8a0d0f,Nidoking Delta Species 6/101 Dragon Frontiers reverse holo,2025-10-31 03:15:59.349+00,2025-10-31 03:15:59.784989+00
3ae3bdbc-544a-4b62-a7bd-729dc56200d1,Darkrai GX Secret 158/147 Burning Shadows holo,2025-10-31 11:58:23.449+00,2025-10-31 11:58:23.239577+00
3ae621cf-dc2e-42fb-9cda-b8f9cb85dc8e,"Reshiram EX 95 Full Art ""95/99"" Next Destinies holo",2025-11-30 21:51:05.122+00,2025-11-30 21:51:04.612801+00
3b260fec-800a-4eb8-b65d-0724fe4fc62b,"Machamp ""9/92"" Legend Maker reverse holo",2025-11-30 23:04:10.421+00,2025-11-30 23:04:09.37899+00
3b85de88-4852-4d5a-83a8-4244fa056a17,Ancient Mew Miscellaneous Cards & Products 1 holo,2026-03-09 17:36:45.293+00,2026-03-09 17:36:45.788842+00
3bea264a-3f0c-45a9-b3f2-96704576dbe6,"Rocket's Wobbuffet ""47/109"" Team Rocket Returns reverse holo",2026-02-06 16:04:08.52+00,2026-02-06 16:04:06.291385+00
3c93e4c8-74a6-459a-b57b-a1b14e13f6e0,Uxie 43/146 Legends Awakened reverse holo,2025-10-31 12:03:40.052+00,2025-10-31 12:03:40.022687+00
3c9ecb73-4209-44ba-a024-72635690e0e9,"Azumarill ""114/113"" Delta Species holo",2026-03-09 18:21:39.878+00,2026-03-09 18:21:40.429754+00
3ccb2b7d-fa19-408c-b36a-8c8760da6c52,"Feraligatr 47 ""047/165"" Expedition reverse holo",2025-12-01 03:40:13.161+00,2025-12-01 03:40:11.175843+00
3d2f3d6d-8976-4df9-841e-a7cbeae7aff2,Heatran LV.X  Diamond and Pearl Promos DP31 holo,2025-11-16 05:31:47.909+00,2025-11-16 05:31:48.147088+00
3d8a2d10-a56e-446a-b5de-7d517e4bdfad,Dialga GX Secret 138/131 Forbidden Light holo,2025-10-31 13:26:56.601+00,2025-10-31 13:26:56.656082+00
3d9d8374-e23a-4b8c-844a-09b17764d7fe,"Milotic ""12/101"" Hidden Legends reverse holo",2025-12-07 06:00:18.497+00,2025-12-07 06:00:19.694089+00
3db6696d-3716-419a-b3e4-d7027f8103bd,Trevenant Prerelease Staff XY Promos XY94 holo,2026-02-05 20:17:48.947+00,2026-02-05 20:17:47.79733+00
3e087b99-6e74-454d-b13b-712c823b4a28,"Ledyba ""07/18"" Southern Islands reverse holo",2025-12-17 03:43:46.325+00,2025-12-17 03:43:44.226587+00
3e859376-0bf4-423b-a399-9fb807b035f6,Mew Glossy Finish WoTC Promo 8,2025-11-30 23:27:13.339+00,2025-11-30 23:27:12.029394+00
3e9ca36c-6b5e-4728-a36c-a2b40e5001a2,"Mew ""15/132"" Secret Wonders reverse holo",2025-11-30 22:55:34.476+00,2025-11-30 22:55:33.392549+00
3ec780f0-e436-4cb8-af2c-9988154d892d,Butterfree 5 005/165 Expedition reverse holo,2025-10-30 15:44:14.842+00,2025-10-30 15:44:14.033936+00
3f2b7e46-800f-4c11-98a5-8bc46b29050a,Floatzel GL Lv.X 104/111 Rising Rivals holo,2025-10-31 12:59:48.163+00,2025-10-31 12:59:47.855758+00
40492480-aafb-4af1-aa45-18933fadc52a,Ancient Ruins 119/144 Skyridge reverse holo,2025-10-30 13:38:28.301+00,2025-10-30 13:38:27.554958+00
41fc136c-d043-4196-8ab1-52a267c63e27,"Togetic Delta Species ""11/101"" Dragon Frontiers reverse holo",2025-11-30 23:21:09.041+00,2025-11-30 23:21:07.907593+00
42f76b3f-b888-4db0-9c46-f4decae6b5ba,"Munchlax ""68/100"" Majestic Dawn reverse holo",2025-12-07 05:54:36.462+00,2025-12-07 05:54:37.697172+00
43486ddf-c906-41be-abd8-c12452573a71,Gengar Lv.X 97/99 Arceus holo,2025-10-31 11:54:35.788+00,2025-10-31 11:54:35.596559+00
436fa83f-28ac-4ce9-b389-9d1963882bf7,Greninja GX Secret 133/131 Forbidden Light holo,2025-10-31 13:22:33.295+00,2025-10-31 13:22:33.066026+00
44c0aab1-1905-4b02-a600-aa217857b3a6,"Kingdra Delta Species ""10/110"" Holon Phantoms reverse holo",2026-03-09 17:37:31.433+00,2026-03-09 17:37:31.989127+00
453179a2-db61-4526-9d1f-03228cca900c,Exeggcute 76 076/147 Aquapolis reverse holo,2025-11-29 02:39:39.948+00,2025-11-29 02:39:39.51693+00
45423fe7-7144-42ba-9ff9-a4eb39dc0d31,Lugia 29/115 Pokemon Rocks America,2025-10-30 13:03:31.855+00,2025-10-30 13:03:31.256311+00
458e3e4a-1c37-4556-94f3-b49ef50bea97,Milotic 12/101 Hidden Legends reverse holo,2025-10-31 12:51:20.81+00,2025-10-31 12:51:20.656494+00
4679a1e6-fbe8-4fab-bf21-80415504b384,"Snorlax Delta Species ""10/101"" Dragon Frontiers reverse holo",2025-12-06 06:47:29.392+00,2025-12-06 06:47:30.234176+00
46e81020-ab35-4b9c-aebf-8f94b74cc4d2,Honchkrow LV.X 132/132 Secret Wonders holo,2025-10-30 13:51:47.861+00,2025-10-30 13:51:47.344274+00
470a763a-3503-4460-84c9-aaf4958771ec,Hop's Snorlax Prerelease Staff Scarlet & Violet Promo Cards 184 holo,2025-10-30 20:00:25.747+00,2025-10-30 20:00:25.474709+00
477c27ec-bae4-404b-beb6-868ad9c469c2,Latios Cracked Ice Holo HGSS Promos HGSS11 holo,2025-10-30 20:18:11.249+00,2025-10-30 20:18:11.206022+00
47a14bfc-7da0-43c7-9cd2-322d9897e278,Blastoise 2/127 Platinum reverse holo,2025-10-31 13:14:49.605+00,2025-10-31 13:14:49.356088+00
47aa8db0-662a-4af5-b57f-151f358ce990,Charizard 6/108 Power Keepers reverse holo,2025-10-30 15:47:01.131+00,2025-10-30 15:47:00.33207+00
47ebe5d4-65eb-459b-a338-c2386d66a822,Archaludon Stellar Crown Stamp,2025-12-06 00:39:57.383+00,2025-12-06 00:39:54.133269+00
48bd1cb6-8921-4581-b069-716fafb36d6a,Unown ? ?/28 Unseen Forces holo,2025-10-29 12:32:31.671+00,2025-10-29 12:32:32.793489+00
48c80463-916c-4240-ba8e-115db4e4ea2f,Giratina 10 10/127 Platinum reverse holo,2025-11-17 03:20:48.187+00,2025-11-17 03:20:47.708787+00
48e034ba-cc23-44be-b073-4ad5c7263a50,Pikachu Pokemon Center Exclusive Scarlet & Violet Promo Cards 027 holo,2025-11-08 19:03:39.765+00,2025-11-08 19:03:38.329476+00
48f6e875-3dd9-426c-b610-f0c566d194dd,"Latios ex ""94/97"" Dragon holo",2026-03-10 00:47:30.328+00,2026-03-10 00:47:25.833334+00
4b6fa5b5-31e3-4d09-8304-34763143b812,Iron Moth EB Games Promo,2025-12-07 05:57:35.905+00,2025-12-07 05:57:37.090634+00
4be338fa-1298-4ef4-ace5-5e772c4ed7cd,Paradise Resort World Championships 2023 Scarlet & Violet Promo Cards 045,2025-11-23 04:19:04.696+00,2025-11-23 04:19:03.787152+00
4c1be37c-b44b-44a7-a603-ca25ec9b0874,Feraligatr Delta Species 2/101 Dragon Frontiers reverse holo,2025-11-23 05:26:23.932+00,2025-11-23 05:26:22.929444+00
