search_term,item_id,title,auction_price,buy_it_now_price,shipping_cost,time_remaining,url,card_condition,tcg_product_id,tcg_url,subTypeName,lowPrice,midPrice,marketPrice,buy_it_now_total,auction_total,roi
"Mega Scrafty ex ""285/217"" Ascended Heroes holo",v1|117099403292|0,Mega Scrafty ex 285/217 Me: Ascended Heroes Holo Pokemon TCG,58.99,81.0,6.0,1d 3h 18m,https://www.ebay.com/itm/117099403292?_skw=Mega+Scrafty+ex+%22285%2F217%22+Ascended+Heroes+holo&hash=item1b43ab181c:g:nWwAAeSwEE5pvi9x,,676097,https://www.tcgplayer.com/product/676097/pokemon-me-ascended-heroes-mega-scrafty-ex-285-217,Holofoil,61.13,74.85,63.49,87.0,64.99000000000001,1.4231964665467036
"N's Zoroark ex ""286/217"" Ascended Heroes holo",v1|358361160103|0,N's Zoroark ex 286/217 Me: Ascended Heroes SIR Holo,120.0,,8.0,0d 7h 36m,https://www.ebay.com/itm/358361160103?_skw=N%27s+Zoroark+ex+%22286%2F217%22+Ascended+Heroes+holo&hash=item536ffd59a7:g:U04AAeSw9gJpv6rO,,676098,https://www.tcgplayer.com/product/676098/pokemon-me-ascended-heroes-ns-zoroark-ex-286-217,Holofoil,140.96,153.6,143.86,,128.0,
"Fezandipiti ex ""288/217"" Ascended Heroes holo",v1|318039855582|0,Pokémon TCG Ascended Heroes Fezandipiti ex 288/217 SIR English NM Holo,89.99,125.99,5.39,1d 17h 35m,https://www.ebay.com/itm/318039855582?_skw=Fezandipiti+ex+%22288%2F217%22+Ascended+Heroes+holo&hash=item4a0ca711de:g:l34AAeSwtCRprJDo,,676100,https://www.tcgplayer.com/product/676100/pokemon-me-ascended-heroes-fezandipiti-ex-288-217,Holofoil,83.0,95.0,84.93,131.38,95.38,1.5828915662650602
"Mega Dragonite ex ""290/217"" Ascended Heroes holo",v1|318036296736|0,Mega Dragonite ex 290/217 Me: Ascended Heroes Holo,500.0,670.0,4.88,0d 22h 37m,https://www.ebay.com/itm/318036296736?_skw=Mega+Dragonite+ex+%22290%2F217%22+Ascended+Heroes+holo&hash=item4a0c70c420:g:IrIAAeSwuHBpvesi,,676102,https://www.tcgplayer.com/product/676102/pokemon-me-ascended-heroes-mega-dragonite-ex-290-217,Holofoil,650.0,700.0,682.19,674.88,504.88,1.038276923076923
"Mega Charizard Y ex ""294/217"" Ascended Heroes holo",v1|147217438983|0,Mega Charizard Y ex Gold 294/217 ME Ascended Heroes Holo EN Near Mint Pack Fresh,620.0,,9.75,0d 20h 7m,https://www.ebay.com/itm/147217438983?_skw=Mega+Charizard+Y+ex+%22294%2F217%22+Ascended+Heroes+holo&hash=item2246d7d907:g:iSUAAeSweLRpvwwm,,676106,https://www.tcgplayer.com/product/676106/pokemon-me-ascended-heroes-mega-charizard-y-ex-294-217,Holofoil,390.0,490.0,437.43,,629.75,
"Mega Dragonite ex ""295/217"" Ascended Heroes holo",v1|389779482836|0,Mega Dragonite ex 295/217 Me: Ascended Heroes Holo,300.0,400.0,5.0,1d 15h 44m,https://www.ebay.com/itm/389779482836?_skw=Mega+Dragonite+ex+%22295%2F217%22+Ascended+Heroes+holo&hash=item5ac0aae8d4:g:bRUAAeSwu5tpvt26,,676107,https://www.tcgplayer.com/product/676107/pokemon-me-ascended-heroes-mega-dragonite-ex-295-217,Holofoil,288.0,329.0,296.84,405.0,305.0,1.40625
"Dawn ""129/094"" Phantasmal Flames holo",v1|336493586554|0,Dawn 129/094 Me02: Phantasmal Flames Holo,20.0,,4.88,1d 17h 54m,https://www.ebay.com/itm/336493586554?_skw=Dawn+%22129%2F094%22+Phantasmal+Flames+holo&hash=item4e5894a87a:g:kLIAAeSwdAJpvvza,,662150,https://www.tcgplayer.com/product/662150/pokemon-me02-phantasmal-flames-dawn-129-094,Holofoil,29.0,36.01,32.44,,24.88,
"Dawn ""129/094"" Phantasmal Flames holo",v1|168251630425|0,Dawn 129/094 Me02: Phantasmal Flames Holo SIR,22.5,,4.85,1d 22h 0m,https://www.ebay.com/itm/168251630425?_skw=Dawn+%22129%2F094%22+Phantasmal+Flames+holo&hash=item272c942359:g:R3gAAeSw4r9pvrMf,,662150,https://www.tcgplayer.com/product/662150/pokemon-me02-phantasmal-flames-dawn-129-094,Holofoil,29.0,36.01,32.44,,27.35,
"Dawn ""129/094"" Phantasmal Flames holo",v1|188192604118|0,Dawn 129/094 Me02: Phantasmal Flames Holo,29.0,,5.0,1d 19h 24m,https://www.ebay.com/itm/188192604118?_skw=Dawn+%22129%2F094%22+Phantasmal+Flames+holo&hash=item2bd1273fd6:g:DLgAAeSwDwJpqxpr,,662150,https://www.tcgplayer.com/product/662150/pokemon-me02-phantasmal-flames-dawn-129-094,Holofoil,29.0,36.01,32.44,,34.0,
"Dawn ""129/094"" Phantasmal Flames holo",v1|227270483738|0,Pokémon TCG Dawn 129/094 Me02: Phantasmal Flames Full Art Holo,3.25,,0.74,1d 23h 57m,https://www.ebay.com/itm/227270483738?_skw=Dawn+%22129%2F094%22+Phantasmal+Flames+holo&hash=item34ea605f1a:g:78kAAeSwQiVpwfTY,,662150,https://www.tcgplayer.com/product/662150/pokemon-me02-phantasmal-flames-dawn-129-094,Holofoil,29.0,36.01,32.44,,3.99,
"Dawn ""129/094"" Phantasmal Flames holo",v1|389777052767|0,Pokémon - Dawn 129/094 - Phantasmal Flames Holo - PACK FRESH MINT,34.99,,5.52,1d 1h 6m,https://www.ebay.com/itm/389777052767?_skw=Dawn+%22129%2F094%22+Phantasmal+Flames+holo&hash=item5ac085d45f:g:lGMAAeSwaahpom8d,,662150,https://www.tcgplayer.com/product/662150/pokemon-me02-phantasmal-flames-dawn-129-094,Holofoil,29.0,36.01,32.44,,40.510000000000005,
"Dawn ""129/094"" Phantasmal Flames holo",v1|127764116914|0,Pokémon TCG Dawn Phantasmal Flames Special Illustration Rare Holo 129/094 Train…,20.0,,5.07,0d 19h 30m,https://www.ebay.com/itm/127764116914?_skw=Dawn+%22129%2F094%22+Phantasmal+Flames+holo&hash=item1dbf55b5b2:g:llIAAeSwn35pwGSY,,662150,https://www.tcgplayer.com/product/662150/pokemon-me02-phantasmal-flames-dawn-129-094,Holofoil,29.0,36.01,32.44,,25.07,
"Dawn ""129/094"" Phantasmal Flames holo",v1|389785890567|0,Dawn 129/094 Me02: Phantasmal Flames Holo,40.0,,5.52,1d 0h 50m,https://www.ebay.com/itm/389785890567?_skw=Dawn+%22129%2F094%22+Phantasmal+Flames+holo&hash=item5ac10caf07:g:xYcAAeSwfJBppl0R,,662150,https://www.tcgplayer.com/product/662150/pokemon-me02-phantasmal-flames-dawn-129-094,Holofoil,29.0,36.01,32.44,,45.519999999999996,
"Dawn ""129/094"" Phantasmal Flames holo",v1|188188128705|0,Pokémon TCG Dawn Full Art Trainer 129/094 Phantasmal Flames Holo Special Rare,30.0,,5.07,0d 15h 1m,https://www.ebay.com/itm/188188128705?_skw=Dawn+%22129%2F094%22+Phantasmal+Flames+holo&hash=item2bd0e2f5c1:g:1S8AAeSwdRtptEdB,,662150,https://www.tcgplayer.com/product/662150/pokemon-me02-phantasmal-flames-dawn-129-094,Holofoil,29.0,36.01,32.44,,35.07,
"Mega Charizard X ex ""109/094"" Phantasmal Flames holo",v1|277837863744|0,Mega Charizard X ex 109/094 Me02: Phantasmal Flames Ultra Rare Holo PACK FRESH,25.0,,4.78,0d 17h 16m,https://www.ebay.com/itm/277837863744?_skw=Mega+Charizard+X+ex+%22109%2F094%22+Phantasmal+Flames+holo&hash=item40b06d5b40:g:DgIAAeSwPJppxYsP,,662183,https://www.tcgplayer.com/product/662183/pokemon-me02-phantasmal-flames-mega-charizard-x-ex-109-094,Holofoil,32.0,39.18,32.97,,29.78,
"Mega Charizard X ex ""109/094"" Phantasmal Flames holo",v1|406789516164|0,Mega Charizard X ex 109/094 Me02: Phantasmal Flames Holo,38.0,,4.88,1d 18h 22m,https://www.ebay.com/itm/406789516164?_skw=Mega+Charizard+X+ex+%22109%2F094%22+Phantasmal+Flames+holo&hash=item5eb68b6b84:g:pZYAAeSwt0NpvwMo,,662183,https://www.tcgplayer.com/product/662183/pokemon-me02-phantasmal-flames-mega-charizard-x-ex-109-094,Holofoil,32.0,39.18,32.97,,42.88,
"Mega Charizard X ex ""109/094"" Phantasmal Flames holo",v1|358348059439|0,Mega Charizard X ex 109/094 Full Art Me02: Phantasmal Flames Holo,27.5,,5.2,1d 21h 41m,https://www.ebay.com/itm/358348059439?_skw=Mega+Charizard+X+ex+%22109%2F094%22+Phantasmal+Flames+holo&hash=item536f35732f:g:DNMAAeSw8TRpuxIo,,662183,https://www.tcgplayer.com/product/662183/pokemon-me02-phantasmal-flames-mega-charizard-x-ex-109-094,Holofoil,32.0,39.18,32.97,,32.7,
"Mega Charizard X ex ""109/094"" Phantasmal Flames holo",v1|336491277696|0,Mega Charizard X ex 109/094 Phantasmal Flames Holo,1.0,,74.95,0d 2h 49m,https://www.ebay.com/itm/336491277696?_skw=Mega+Charizard+X+ex+%22109%2F094%22+Phantasmal+Flames+holo&hash=item4e58716d80:g:lwEAAeSw~gBpf8m4,,662183,https://www.tcgplayer.com/product/662183/pokemon-me02-phantasmal-flames-mega-charizard-x-ex-109-094,Holofoil,32.0,39.18,32.97,,75.95,
"Mega Charizard X ex ""109/094"" Phantasmal Flames holo",v1|377040946405|0,Mega Charizard x EX 109/094 Me02: Phantasmal Flames Holo | Plus Extras ,600.0,,0.0,0d 3h 5m,https://www.ebay.com/itm/377040946405?_skw=Mega+Charizard+X+ex+%22109%2F094%22+Phantasmal+Flames+holo&hash=item57c96444e5:g:VlwAAeSwSzBpT3gM,,662183,https://www.tcgplayer.com/product/662183/pokemon-me02-phantasmal-flames-mega-charizard-x-ex-109-094,Holofoil,32.0,39.18,32.97,,600.0,
"Mega Charizard X ex ""125/094"" Phantasmal Flames holo",v1|198208009107|0,Mega Charizard X ex 125/094 Me02: Phantasmal Flames Holo,805.0,,5.52,0d 2h 1m,https://www.ebay.com/itm/198208009107?_skw=Mega+Charizard+X+ex+%22125%2F094%22+Phantasmal+Flames+holo&hash=item2e261e3393:g:vaYAAeSw3x1pvMsB,,662184,https://www.tcgplayer.com/product/662184/pokemon-me02-phantasmal-flames-mega-charizard-x-ex-125-094,Holofoil,755.98,1000.0,827.39,,810.52,
"Mega Charizard X ex ""125/094"" Phantasmal Flames holo",v1|257416766145|0,Mega Charizard x EX 125/094 Me02: Phantasmal Flames Holo,875.0,,4.85,0d 14h 38m,https://www.ebay.com/itm/257416766145?_skw=Mega+Charizard+X+ex+%22125%2F094%22+Phantasmal+Flames+holo&hash=item3bef3c22c1:g:-ugAAeSwSoJpvX1A,,662184,https://www.tcgplayer.com/product/662184/pokemon-me02-phantasmal-flames-mega-charizard-x-ex-125-094,Holofoil,755.98,1000.0,827.39,,879.85,
"Mega Charizard X ex ""125/094"" Phantasmal Flames holo",v1|397743452071|0,Mega Charizard x EX 125/094 Me02: Phantasmal Flames Holo,720.0,,4.78,1d 13h 54m,https://www.ebay.com/itm/397743452071?_skw=Mega+Charizard+X+ex+%22125%2F094%22+Phantasmal+Flames+holo&hash=item5c9b5b6fa7:g:w0AAAeSw64xpvsRq,,662184,https://www.tcgplayer.com/product/662184/pokemon-me02-phantasmal-flames-mega-charizard-x-ex-125-094,Holofoil,755.98,1000.0,827.39,,724.78,
"Mega Charizard X ex ""125/094"" Phantasmal Flames holo",v1|147210177093|0,Pokémon Mega Charizard X EX Holo 125/094 Me02: Phantasmal Flames Rare,610.0,,0.0,1d 2h 5m,https://www.ebay.com/itm/147210177093?_skw=Mega+Charizard+X+ex+%22125%2F094%22+Phantasmal+Flames+holo&hash=item2246690a45:g:9NgAAeSwMHlpuxCn,,662184,https://www.tcgplayer.com/product/662184/pokemon-me02-phantasmal-flames-mega-charizard-x-ex-125-094,Holofoil,755.98,1000.0,827.39,,610.0,
"Mega Charizard X ex ""125/094"" Phantasmal Flames holo",v1|198216465333|0,Pokémon Mega Charizard X EX Holo 125/094 Me02: Phantasmal Flames Rare,700.0,,20.0,0d 21h 52m,https://www.ebay.com/itm/198216465333?_skw=Mega+Charizard+X+ex+%22125%2F094%22+Phantasmal+Flames+holo&hash=item2e269f3bb5:g:VBgAAeSwLYRpkmtQ,,662184,https://www.tcgplayer.com/product/662184/pokemon-me02-phantasmal-flames-mega-charizard-x-ex-125-094,Holofoil,755.98,1000.0,827.39,,720.0,
"Mega Charizard X ex ""125/094"" Phantasmal Flames holo",v1|157779776767|0,Mega Charizard X ex 125/094 Me02: Phantasmal Flames Holo,850.0,1500.0,5.07,1d 19h 50m,https://www.ebay.com/itm/157779776767?_skw=Mega+Charizard+X+ex+%22125%2F094%22+Phantasmal+Flames+holo&hash=item24bc6854ff:g:ie4AAeSwlJNpwbrU,,662184,https://www.tcgplayer.com/product/662184/pokemon-me02-phantasmal-flames-mega-charizard-x-ex-125-094,Holofoil,755.98,1000.0,827.39,1505.07,855.07,1.9908860022751924
"Mega Sharpedo ex ""127/094"" Phantasmal Flames holo",v1|358359889415|0,Mega Sharpedo EX 127/094 Me02: Phantasmal Flames Holo,3.25,,4.78,1d 22h 41m,https://www.ebay.com/itm/358359889415?_skw=Mega+Sharpedo+ex+%22127%2F094%22+Phantasmal+Flames+holo&hash=item536fe9f607:g:EBYAAeSwLW1pvz9F,,662193,https://www.tcgplayer.com/product/662193/pokemon-me02-phantasmal-flames-mega-sharpedo-ex-127-094,Holofoil,22.49,31.75,28.91,,8.030000000000001,
"Mega Sharpedo ex ""127/094"" Phantasmal Flames holo",v1|287220951868|0,Mega Sharpedo EX 127/094 Me02: Phantasmal Flames Holo Near Mint!,25.0,,5.0,1d 0h 7m,https://www.ebay.com/itm/287220951868?_skw=Mega+Sharpedo+ex+%22127%2F094%22+Phantasmal+Flames+holo&hash=item42dfb3eb3c:g:3AUAAeSw7GJpvgKS,,662193,https://www.tcgplayer.com/product/662193/pokemon-me02-phantasmal-flames-mega-sharpedo-ex-127-094,Holofoil,22.49,31.75,28.91,,30.0,
"Mega Sharpedo ex ""127/094"" Phantasmal Flames holo",v1|377050683340|0,Mega Sharpedo ex 127/094 Me02: Phantasmal Flames Holo,17.99,,5.2,0d 22h 33m,https://www.ebay.com/itm/377050683340?_skw=Mega+Sharpedo+ex+%22127%2F094%22+Phantasmal+Flames+holo&hash=item57c9f8d7cc:g:khYAAeSwD~Vpj9Vq,,662193,https://www.tcgplayer.com/product/662193/pokemon-me02-phantasmal-flames-mega-sharpedo-ex-127-094,Holofoil,22.49,31.75,28.91,,23.189999999999998,
"Mega Sharpedo ex ""127/094"" Phantasmal Flames holo",v1|389763003337|0,Pokémon Mega Sharpedo EX 127/094 Phantasmal Flames Holo,28.0,50.0,5.2,0d 18h 33m,https://www.ebay.com/itm/389763003337?_skw=Mega+Sharpedo+ex+%22127%2F094%22+Phantasmal+Flames+holo&hash=item5abfaf73c9:g:RnEAAeSw2jNpub-Y,,662193,https://www.tcgplayer.com/product/662193/pokemon-me02-phantasmal-flames-mega-sharpedo-ex-127-094,Holofoil,22.49,31.75,28.91,55.2,33.2,2.454424188528235
Meganium Mega Evolution Promo 001,v1|227264704272|0,MEGANIUM Mega Evolution Prerelease Staff Promo 001 HOLO,46.0,,5.07,0d 0h 16m,https://www.ebay.com/itm/227264704272?_skw=Meganium+Mega+Evolution+Promo+001&hash=item34ea082f10:g:zSoAAeSw~epptMne,,654594,https://www.tcgplayer.com/product/654594/pokemon-me-mega-evolution-promo-meganium-001,Normal,21.0,28.97,25.2,,51.07,
Alakazam Mega Evolution Promo 003,v1|397744047258|0,Alakazam 009 Me: Mega Evolution Promo Holo,4.25,,1.03,1d 17h 18m,https://www.ebay.com/itm/397744047258?_skw=Alakazam+Mega+Evolution+Promo+003&hash=item5c9b64849a:g:9McAAeSw4ExpvvRL,,654597,https://www.tcgplayer.com/product/654597/pokemon-me-mega-evolution-promo-alakazam-003,Normal,19.5,25.74,24.41,,5.28,
Alakazam Mega Evolution Promo 003,v1|206149580816|0,2x Pokemon TCG Alakazam MEP 009 Mega Evolution Black Star Promo ,9.5,,5.52,0d 22h 25m,https://www.ebay.com/itm/206149580816?_skw=Alakazam+Mega+Evolution+Promo+003&hash=item2fff78f810:g:XrcAAeSwVAppux2f,,654597,https://www.tcgplayer.com/product/654597/pokemon-me-mega-evolution-promo-alakazam-003,Normal,19.5,25.74,24.41,,15.02,
Alakazam Mega Evolution Promo 003,v1|389779420073|0,Pokemon Pokémon TCG Alakazam 009 Me: Mega Evolution Black Star Promo Holo Card,6.99,10.0,4.88,1d 15h 22m,https://www.ebay.com/itm/389779420073?_skw=Alakazam+Mega+Evolution+Promo+003&hash=item5ac0a9f3a9:g:MyQAAeSwncRpvtkw,,654597,https://www.tcgplayer.com/product/654597/pokemon-me-mega-evolution-promo-alakazam-003,Normal,19.5,25.74,24.41,14.879999999999999,11.870000000000001,0.763076923076923
Alakazam Mega Evolution Promo 003,v1|177980599036|0,Alakazam 009 Me: Mega Evolution Promo Holo,30.0,,5.52,1d 22h 54m,https://www.ebay.com/itm/177980599036?_skw=Alakazam+Mega+Evolution+Promo+003&hash=item2970786afc:g:LwIAAeSwsA1pmmby,,654597,https://www.tcgplayer.com/product/654597/pokemon-me-mega-evolution-promo-alakazam-003,Normal,19.5,25.74,24.41,,35.519999999999996,
Alakazam Mega Evolution Promo 003,v1|147211841291|0,Alakazam - ME01: Mega Evolution 056/132 Holo Rare,0.99,,0.5,1d 23h 56m,https://www.ebay.com/itm/147211841291?_skw=Alakazam+Mega+Evolution+Promo+003&hash=item2246826f0b:g:7zAAAeSwviVpnsxe,,654597,https://www.tcgplayer.com/product/654597/pokemon-me-mega-evolution-promo-alakazam-003,Normal,19.5,25.74,24.41,,1.49,
Alakazam Mega Evolution Promo 003,v1|327061288284|0,Alakazam 056/132 Me01: Mega Evolution Holo,0.5,,2.0,1d 19h 4m,https://www.ebay.com/itm/327061288284?_skw=Alakazam+Mega+Evolution+Promo+003&hash=item4c265f355c:g:XU0AAeSwEXNpo2tS,,654597,https://www.tcgplayer.com/product/654597/pokemon-me-mega-evolution-promo-alakazam-003,Normal,19.5,25.74,24.41,,2.5,
Alakazam Mega Evolution Promo 003,v1|318035801757|0,Sealed Alakazam 009 Me: Mega Evolution Promo Holo,9.99,,4.99,0d 19h 57m,https://www.ebay.com/itm/318035801757?_skw=Alakazam+Mega+Evolution+Promo+003&hash=item4a0c69369d:g:nwoAAeSwRaFpdAFk,,654597,https://www.tcgplayer.com/product/654597/pokemon-me-mega-evolution-promo-alakazam-003,Normal,19.5,25.74,24.41,,14.98,
Meganium Staff Mega Evolution Promo 001 holo,v1|227264704272|0,MEGANIUM Mega Evolution Prerelease Staff Promo 001 HOLO,46.0,,5.07,0d 0h 15m,https://www.ebay.com/itm/227264704272?_skw=Meganium+Staff+Mega+Evolution+Promo+001+holo&hash=item34ea082f10:g:zSoAAeSw~epptMne,,656800,https://www.tcgplayer.com/product/656800/pokemon-me-mega-evolution-promo-meganium-001-staff,Holofoil,200.0,200.0,75.27,,51.07,
Haunter Mega Evolution Promo 027 holo,v1|298147671054|0,Pokémon TCG - Haunter 027 Illustration Rare Holo Mega Evolution Promo | NM,55.0,,0.0,1d 16h 16m,https://www.ebay.com/itm/298147671054?_skw=Haunter+Mega+Evolution+Promo+027+holo&hash=item456afc6c0e:g:nzYAAeSwUrVpvuX5,,659232,https://www.tcgplayer.com/product/659232/pokemon-me-mega-evolution-promo-haunter-027,Holofoil,49.0,62.5,51.71,,55.0,
Haunter Mega Evolution Promo 027 holo,v1|406784993442|0,Pokemon TCG - Haunter MEP EN 027 Full Art Holo Promo,50.0,,5.2,0d 1h 10m,https://www.ebay.com/itm/406784993442?_skw=Haunter+Mega+Evolution+Promo+027+holo&hash=item5eb64668a2:g:kloAAeSwAu9pvL~z,,659232,https://www.tcgplayer.com/product/659232/pokemon-me-mega-evolution-promo-haunter-027,Holofoil,49.0,62.5,51.71,,55.2,
Haunter Mega Evolution Promo 027 holo,v1|198209822428|0,Pokémon Mega Gengar EX 056/094 XY Phantom Forces Rare Holo 350HP EX Psychic,0.99,,1.32,0d 17h 48m,https://www.ebay.com/itm/198209822428?_skw=Haunter+Mega+Evolution+Promo+027+holo&hash=item2e2639dedc:g:G88AAeSw65tpvaoQ,,659232,https://www.tcgplayer.com/product/659232/pokemon-me-mega-evolution-promo-haunter-027,Holofoil,49.0,62.5,51.71,,2.31,
